full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
Landry Shamet,76,#20,Los Angeles Clippers,G,03/13/97,1.93,81.6,1995120.0,USA,2018,1,26,Wichita State
Isaiah Thomas,76,#0,,G,02/07/89,1.75,83.9,2320044.0,USA,2011,2,60,Washington
Dion Waiters,76,#11,Los Angeles Lakers,G,12/10/91,1.91,95.3,12475385.0,USA,2012,1,4,Syracuse
Marvin Williams,76,#2,Milwaukee Bucks,F,06/19/86,2.03,108.9,14654179.0,USA,2005,1,2,North Carolina
Delon Wright,76,#55,Dallas Mavericks,G,04/26/92,1.96,82.1,9473684.0,USA,2015,1,20,Utah
Coby White,76,#0,Chicago Bulls,G,02/16/00,1.93,83.9,5307120.0,USA,2019,1,7,North Carolina
Marco Belinelli,75,#18,San Antonio Spurs,G,03/25/86,1.96,90.7,5846154.0,Italy,2007,1,18,
Damyean Dotson,75,#21,New York Knicks,G,05/06/94,1.96,91.6,1618520.0,USA,2017,2,44,Houston
Kris Dunn,75,#32,Chicago Bulls,G,03/18/94,1.91,93.0,5348007.0,USA,2016,1,5,Providence
Wayne Ellington,75,#2,New York Knicks,G,11/29/87,1.93,90.7,8000000.0,USA,2009,1,28,North Carolina
Josh Hart,75,#3,New Orleans Pelicans,G,03/06/95,1.96,92.5,1934160.0,USA,2017,1,30,Villanova
John Henson,75,#31,Detroit Pistons,F,12/28/90,2.06,99.8,9732396.0,USA,2012,1,14,North Carolina
George Hill,75,#3,Milwaukee Bucks,G,05/04/86,1.91,81.6,10133907.0,USA,2008,1,26,IUPUI
Rondae Hollis-Jefferson,75,#4,Toronto Raptors,F,01/03/95,1.98,95.7,2500000.0,USA,2015,1,23,Arizona
Richaun Holmes,75,#22,Sacramento Kings,F,10/15/93,2.08,110.2,4767000.0,USA,2015,2,37,Bowling Green
James Johnson,75,#0,Minnesota Timberwolves,F,02/20/87,2.01,111.1,15349400.0,USA,2009,1,16,Wake Forest
Luke Kennard,75,#5,Detroit Pistons,G,06/24/96,1.96,88.9,3827160.0,USA,2017,1,12,Duke
Kyle Korver,75,#26,Milwaukee Bucks,F,03/17/81,2.01,96.2,6004753.0,USA,2003,2,51,Creighton
Rodions Kurucs,75,#0,Brooklyn Nets,F,02/05/98,2.06,97.5,1699236.0,Latvia,2018,2,40,
Jake Layman,75,#10,Minnesota Timberwolves,F,03/07/94,2.03,94.8,3581986.0,USA,2016,2,47,Maryland
